,latitude,longitude,time,magnitude,catalog_id
79,46.391,6.727,1976-12-27 16:52:17.800000000,2.6,real
80,46.221,7.183,1976-12-29 02:13:21.500000000,2.4000000000000004,real
81,47.284,9.707,1977-01-02 07:35:51.000000000,2.2,real
82,46.215,8.676,1977-01-03 04:05:35.200000000,2.3000000000000003,real
83,46.66,9.705,1977-01-07 01:03:24.900000000,2.3000000000000003,real
84,47.352,9.753,1977-01-08 01:18:54.800000000,2.8000000000000003,real
85,47.531,7.613,1977-01-09 22:00:11.400000000,2.2,real
86,46.017,7.05,1977-01-11 02:53:23.000000000,2.8000000000000003,real
87,46.575,9.783,1977-01-15 00:15:42.200000000,3.1,real
88,46.254,6.8,1977-01-15 08:58:52.800000000,2.8000000000000003,real
89,46.582,9.776,1977-01-15 22:44:47.500000000,2.6,real
90,46.582,9.776,1977-01-15 22:44:59.300000000,2.5,real
91,46.565,9.803,1977-01-16 09:09:47.700000000,2.7,real
92,46.59,9.771,1977-01-18 16:59:54.500000000,3.0,real
93,46.183,6.9,1977-01-22 20:09:21.000000000,3.2,real
94,46.617,6.143,1977-02-01 11:57:38.200000000,3.1,real
95,46.383,6.8,1977-02-03 08:52:49.000000000,3.1,real
96,46.115,6.897,1977-02-04 09:36:18.700000000,3.1,real
97,47.368,9.822,1977-02-08 14:29:48.400000000,2.3000000000000003,real
98,45.785,7.736,1977-02-19 10:05:53.000000000,2.9000000000000004,real
99,46.425,10.128,1977-02-21 06:35:43.300000000,2.7,real
100,46.495,7.719,1977-02-22 16:48:17.500000000,3.2,real
101,46.724,6.764,1977-02-25 16:56:50.100000000,2.5,real
102,47.239,7.622,1977-02-28 07:41:16.000000000,2.3000000000000003,real
103,47.68,8.31,1977-03-01 14:43:05.000000000,2.5,real
104,47.372,9.749,1977-03-02 14:57:15.400000000,2.7,real
105,46.418,7.39,1977-03-05 13:31:22.500000000,4.1000000000000005,real
106,46.408,7.401,1977-03-11 10:19:55.800000000,3.2,real
107,46.415,7.384,1977-03-12 13:02:11.400000000,2.3000000000000003,real
108,46.424,7.437,1977-03-13 04:06:11.500000000,2.2,real
109,46.591,7.327,1977-03-29 00:32:59.700000000,2.2,real
110,46.902,10.263,1977-03-29 09:20:40.900000000,2.7,real
111,46.355,7.476,1977-03-31 09:40:36.800000000,3.3000000000000003,real
112,46.05,7.332,1977-04-04 16:14:49.300000000,2.4000000000000004,real
113,46.309,7.296,1977-04-10 13:53:46.000000000,2.4000000000000004,real
114,46.843,7.188,1977-04-13 12:23:33.400000000,2.3000000000000003,real
115,46.714,9.034,1977-04-21 07:36:52.400000000,2.5,real
116,46.254,7.933,1977-04-25 16:29:56.700000000,2.6,real
117,46.185,7.545,1977-04-26 06:53:11.800000000,2.4000000000000004,real
118,46.651,9.681,1977-04-27 17:49:04.200000000,2.3000000000000003,real
119,46.368,9.574,1977-05-02 17:53:00.400000000,3.1,real
120,46.572,9.32,1977-05-02 19:01:46.500000000,2.2,real
121,47.417,9.834,1977-05-26 13:01:05.500000000,2.2,real
122,45.75,7.29,1977-06-10 02:58:20.000000000,2.2,real
123,47.413,7.529,1977-06-22 15:01:38.800000000,2.2,real
124,46.359,9.35,1977-06-24 17:04:24.900000000,2.2,real
125,45.772,7.918,1977-06-29 11:16:38.100000000,2.6,real
126,46.637,10.588,1977-07-04 12:06:11.500000000,2.8000000000000003,real
127,45.769,7.154,1977-07-19 19:00:20.900000000,2.3000000000000003,real
128,46.319,7.452,1977-07-23 16:15:53.900000000,2.4000000000000004,real
129,46.33,7.427,1977-07-27 07:50:17.500000000,3.2,real
130,47.165,9.042,1977-07-30 00:42:59.100000000,2.3000000000000003,real
131,46.306,7.455,1977-08-02 05:59:36.700000000,2.2,real
132,47.609,7.831,1977-08-15 10:20:03.200000000,2.2,real
133,46.304,7.353,1977-08-24 06:12:48.400000000,2.5,real
134,47.568,7.843,1977-08-28 03:44:01.900000000,2.2,real
135,46.752,10.126,1977-08-30 00:23:12.900000000,2.2,real
136,46.263,7.936,1977-09-08 04:38:40.700000000,2.7,real
137,46.117,6.817,1977-09-10 08:52:18.000000000,2.8000000000000003,real
138,46.938,9.854,1977-09-15 16:07:50.500000000,2.4000000000000004,real
139,46.317,7.45,1977-09-21 17:03:17.000000000,2.7,real
140,46.713,7.163,1977-09-24 21:15:23.200000000,2.2,real
141,47.0,9.8,1977-09-30 11:42:46.000000000,2.8000000000000003,real
142,46.156,6.962,1977-10-10 08:52:17.900000000,2.4000000000000004,real
143,46.319,7.451,1977-10-21 17:03:16.800000000,2.4000000000000004,real
144,46.336,9.788,1977-10-27 17:36:53.600000000,2.8000000000000003,real
145,46.763,10.365,1977-10-30 11:42:37.000000000,2.6,real
146,46.035,7.054,1977-11-11 02:53:23.000000000,2.5,real
147,47.282,8.547,1977-11-21 19:27:40.400000000,3.4000000000000004,real
148,46.192,7.035,1977-11-22 16:58:11.600000000,2.4000000000000004,real
149,46.195,7.042,1977-11-22 20:09:22.700000000,2.8000000000000003,real
150,45.993,7.896,1977-12-03 06:44:23.600000000,2.4000000000000004,real
151,46.286,7.33,1977-12-13 04:29:43.900000000,2.4000000000000004,real
152,47.379,9.763,1977-12-16 07:00:47.000000000,2.5,real
153,46.687,10.169,1977-12-22 20:46:29.500000000,2.9000000000000004,real
154,46.652,9.688,1977-12-30 14:09:42.500000000,2.3000000000000003,real
155,45.813,8.753,1978-01-16 21:05:42.800000000,3.5,real
156,46.396,7.357,1978-01-28 23:44:30.000000000,3.2,real
157,46.762,6.992,1978-02-11 14:13:45.200000000,2.6,real
158,47.52,7.093,1978-02-11 15:00:23.800000000,2.5,real
159,47.368,9.63,1978-02-14 13:05:33.100000000,2.2,real
160,46.748,9.675,1978-02-17 01:25:31.500000000,2.3000000000000003,real
161,46.738,9.52,1978-02-18 19:33:46.400000000,2.6,real
162,46.438,9.815,1978-02-23 09:49:20.400000000,3.7,real
163,45.782,9.192,1978-03-13 17:42:40.500000000,3.4000000000000004,real
164,47.038,8.315,1978-03-17 19:20:39.400000000,2.4000000000000004,real
165,45.918,9.173,1978-04-03 11:14:22.300000000,3.0,real
166,47.058,6.963,1978-04-07 14:49:34.100000000,2.7,real
167,47.528,8.132,1978-05-08 14:47:50.600000000,2.2,real
168,46.107,7.433,1978-05-24 01:12:12.300000000,2.2,real
169,46.777,6.903,1978-06-21 18:13:40.900000000,2.3000000000000003,real
170,46.56,9.377,1978-07-07 12:30:59.800000000,2.4000000000000004,real
171,46.288,6.673,1978-07-17 06:23:53.900000000,2.4000000000000004,real
172,46.715,8.143,1978-07-27 04:05:03.400000000,2.5,real
173,47.27,7.722,1978-08-13 04:02:26.000000000,3.2,real
174,47.343,8.91,1978-08-28 14:44:39.900000000,3.1,real
175,47.017,7.198,1978-09-04 05:10:22.500000000,2.3000000000000003,real
176,46.833,9.57,1978-09-27 00:23:49.600000000,3.0,real
177,46.703,9.88,1978-10-02 11:56:45.300000000,2.6,real
178,46.93,7.185,1978-10-17 02:35:45.200000000,2.3000000000000003,real
179,46.922,7.173,1978-10-18 16:49:13.800000000,2.8000000000000003,real
180,46.227,8.175,1978-10-25 17:00:13.200000000,2.2,real
181,47.475,7.77,1978-10-26 02:49:07.100000000,2.7,real
182,47.242,9.673,1978-11-02 16:47:30.600000000,2.2,real
183,46.863,7.438,1978-11-18 23:14:02.300000000,2.3000000000000003,real
184,46.252,6.9,1978-11-25 17:44:37.000000000,2.2,real
185,46.31,7.53,1978-11-28 23:44:31.500000000,2.8000000000000003,real
186,46.562,6.918,1978-12-04 23:54:24.300000000,3.1,real
187,46.265,7.362,1978-12-09 06:22:42.700000000,2.4000000000000004,real
188,46.948,6.972,1978-12-19 00:05:35.000000000,2.4000000000000004,real
189,46.178,6.922,1979-01-11 08:03:19.600000000,2.4000000000000004,real
190,45.885,7.375,1979-01-12 14:37:35.100000000,2.2,real
191,46.697,9.53,1979-02-04 12:01:50.700000000,2.8000000000000003,real
192,46.815,10.077,1979-02-13 00:09:29.800000000,2.5,real
193,46.342,7.465,1979-02-15 22:32:25.200000000,2.2,real
194,46.535,10.128,1979-02-24 21:33:15.100000000,2.6,real
195,46.787,6.237,1979-03-01 06:50:52.300000000,2.2,real
196,46.79,7.032,1979-03-14 01:10:04.200000000,2.6,real
197,47.32,9.7,1979-03-14 13:59:51.000000000,2.3000000000000003,real
198,46.732,9.85,1979-03-17 11:56:16.700000000,2.5,real
199,46.547,5.922,1979-04-25 22:16:01.600000000,2.5,real
200,46.52,7.688,1979-05-04 12:15:15.900000000,2.3000000000000003,real
201,46.315,7.407,1979-05-09 09:40:44.900000000,2.3000000000000003,real
202,46.147,7.657,1979-05-21 03:09:39.000000000,2.2,real
203,46.103,7.623,1979-05-23 19:46:50.700000000,2.3000000000000003,real
204,47.235,8.573,1979-05-26 20:09:12.800000000,3.1,real
205,47.067,9.632,1979-06-05 10:46:00.600000000,3.0,real
206,46.777,6.908,1979-06-11 19:29:32.400000000,2.2,real
207,46.59,6.75,1979-06-20 00:34:14.700000000,2.4000000000000004,real
208,46.585,7.48,1979-06-20 01:52:33.800000000,2.5,real
209,46.713,10.018,1979-06-24 13:27:54.700000000,2.8000000000000003,real
210,46.922,7.063,1979-07-03 21:13:10.900000000,3.8000000000000003,real
211,47.378,9.748,1979-09-06 06:36:24.700000000,2.2,real
212,46.65,6.942,1979-09-07 00:34:13.100000000,2.4000000000000004,real
213,46.315,7.433,1979-09-11 18:58:42.500000000,2.3000000000000003,real
214,46.197,7.02,1979-09-13 14:55:57.400000000,2.5,real
215,46.298,7.53,1979-09-17 18:07:07.900000000,2.5,real
216,46.293,7.533,1979-09-17 22:59:21.400000000,2.3000000000000003,real
217,46.323,7.465,1979-09-18 08:26:16.800000000,2.2,real
218,45.963,7.162,1979-09-24 05:58:55.000000000,2.9000000000000004,real
219,47.223,9.623,1979-10-07 08:42:23.800000000,2.4000000000000004,real
220,47.553,7.47,1979-10-08 15:50:53.700000000,2.2,real
221,46.172,7.783,1979-10-11 11:13:25.700000000,2.4000000000000004,real
222,47.28,7.705,1979-10-15 16:27:53.000000000,2.3000000000000003,real
223,46.628,10.48,1979-11-01 22:05:17.200000000,2.2,real
224,46.67,10.227,1979-11-06 16:46:48.000000000,2.5,real
225,46.612,9.942,1979-11-12 17:36:22.700000000,3.0,real
226,46.617,9.952,1979-11-12 19:31:42.600000000,2.6,real
227,46.605,9.982,1979-11-12 20:09:27.100000000,2.3000000000000003,real
228,46.617,9.945,1979-11-12 21:23:15.800000000,2.5,real
229,46.975,7.533,1979-11-17 11:35:46.400000000,2.8000000000000003,real
230,47.278,8.517,1979-11-30 00:44:52.800000000,3.0,real
231,46.292,6.463,1980-01-09 21:36:25.400000000,2.2,real
232,46.345,6.533,1980-01-11 10:48:34.700000000,2.6,real
233,46.502,10.487,1980-01-25 00:27:55.100000000,3.7,real
234,46.535,10.508,1980-01-25 22:37:06.800000000,2.3000000000000003,real
235,47.672,7.49,1980-01-28 03:36:36.850000000,3.2,real
236,46.532,9.938,1980-02-04 11:24:35.100000000,2.7,real
237,46.762,9.997,1980-02-04 23:13:13.700000000,2.3000000000000003,real
238,47.368,9.845,1980-02-07 06:54:53.000000000,2.2,real
239,47.377,9.773,1980-03-20 07:02:40.900000000,2.3000000000000003,real
240,46.65,10.345,1980-03-22 16:13:51.600000000,2.2,real
241,47.072,8.635,1980-03-25 15:27:50.600000000,2.5,real
242,47.063,8.635,1980-03-31 01:08:48.600000000,2.4000000000000004,real
243,47.522,8.745,1980-03-31 14:47:40.600000000,2.6,real
244,46.148,7.692,1980-05-07 06:52:37.200000000,2.2,real
245,47.25,6.67,1980-05-25 00:43:29.800000000,2.6,real
246,46.25,7.703,1980-06-17 17:10:53.700000000,2.2,real
247,45.975,7.928,1980-06-18 18:21:24.600000000,2.4000000000000004,real
248,47.45,9.838,1980-06-19 05:33:17.000000000,2.2,real
249,47.462,9.512,1980-06-30 20:27:41.000000000,2.7,real
250,46.527,9.36,1980-07-07 13:26:51.400000000,2.6,real
251,46.692,10.297,1980-07-09 14:24:57.200000000,2.7,real
252,47.673,7.475,1980-07-15 12:17:21.320000000,4.7,real
253,47.664,7.476,1980-07-15 12:19:07.180000000,2.8000000000000003,real
254,47.684,7.476,1980-07-15 12:43:55.620000000,3.0,real
255,47.688,7.466,1980-07-15 12:44:58.250000000,2.8000000000000003,real
256,47.674,7.485,1980-07-15 12:54:45.830000000,3.7,real
257,47.675,7.468,1980-07-15 13:19:08.050000000,2.7,real
258,47.679,7.481,1980-07-15 13:31:42.660000000,3.2,real
259,47.68,7.474,1980-07-15 14:20:14.360000000,3.1,real
260,47.679,7.479,1980-07-15 15:32:16.450000000,2.4000000000000004,real
261,47.676,7.488,1980-07-16 03:38:17.020000000,3.3000000000000003,real
262,47.676,7.482,1980-07-16 09:25:44.750000000,2.3000000000000003,real
263,47.671,7.481,1980-07-16 15:00:48.480000000,3.8000000000000003,real
264,47.675,7.481,1980-07-18 23:03:52.500000000,2.8000000000000003,real
265,47.671,7.487,1980-07-19 20:27:49.230000000,2.6,real
266,47.667,7.481,1980-07-22 00:07:38.270000000,2.8000000000000003,real
267,47.683,7.483,1980-07-22 09:59:32.000000000,3.2,real
268,47.677,7.477,1980-07-22 22:46:22.930000000,3.7,real
269,47.677,7.478,1980-07-22 22:50:09.230000000,2.5,real
270,47.676,7.467,1980-07-25 00:46:38.000000000,2.6,real
271,47.667,7.477,1980-07-25 04:46:37.770000000,2.2,real
